,dataset,model,max_accuracy,mean_accuracy,std_accuracy,probing_max_acc,probing_dense_max_acc,probing_top_3,probing_dense_top_3,probing_top_layers,probing_dense_top_layers
0,AESDD,HUBERT_ASR_LARGE,74.39613342285156,66.47342920303345,5.016717206604176,81.15941882133484,82.6086938381195,68.66 (0.2),72.27 (1.86),[15 18 20],[12 14 13]
1,AESDD,HUBERT_BASE,61.35265827178955,59.03381705284119,1.3105950877046915,70.04830837249756,72.9468584060669,65.48 (0.89),66.09 (2.15),[4 6 7],[9 7 8]
2,AESDD,HUBERT_LARGE,72.46376872062683,63.09178829193115,7.835028109857164,78.74395847320557,80.19323945045471,71.01 (1.22),73.11 (0.4),[19 15 14],[13 14 15]
3,AESDD,WAV2VEC2_ASR_LARGE_960H,66.18357300758362,63.09178590774536,3.1693182634771806,77.77777910232544,79.22705411911011,72.88 (1.21),73.59 (1.42),[ 7 12  9],[ 9 12 11]
4,AESDD,WAV2VEC2_BASE,62.31883764266968,59.90338206291199,2.3862957029576983,71.01449370384216,69.5652186870575,64.51 (2.9),62.77 (1.39),[4 5 6],[ 5 11  6]
5,AESDD,WAV2VEC2_LARGE,75.84540843963623,63.96135210990906,6.413304678209006,75.36231875419617,79.71014380455017,72.08 (1.78),70.85 (0.64),[17 16 15],[17 13 16]
6,AESDD,WAV2VEC2_LARGE_XLSR,65.70048332214355,52.946860790252686,11.31961515929369,80.19323945045471,85.02415418624878,74.46 (0.4),75.78 (1.78),[19 17 11],[14 15 17]
7,AESDD,WAV2VEC2_LARGE_XLSR300M,74.39613342285156,64.15458917617798,5.269022918494694,78.2608687877655,83.09178948402405,72.56 (0.99),76.33 (1.04),[10 18 19],[18 12 17]
8,CaFE,HUBERT_ASR_LARGE,80.7692289352417,74.52991485595703,3.5917765814193863,81.62392973899841,82.47863054275513,78.06 (1.22),79.89 (0.26),[13 15 14],[15 11 16]
9,CaFE,HUBERT_BASE,72.22222089767456,69.65811967849731,2.076060793517226,70.08547186851501,73.07692170143127,67.15 (1.26),69.63 (1.23),[10 11  8],[5 6 8]
10,CaFE,HUBERT_LARGE,79.05982732772827,74.44444417953491,4.613801819532358,79.91452813148499,83.76068472862244,75.07 (1.22),78.83 (0.35),[14 13 15],[12 13 14]
11,CaFE,WAV2VEC2_ASR_LARGE_960H,77.77777910232544,71.36752247810364,5.056477944203747,71.79487347602844,75.2136766910553,69.26 (0.5),71.11 (0.07),[ 9 10  8],[14 15  8]
12,CaFE,WAV2VEC2_BASE,72.22222089767456,64.18803572654724,7.540766436893389,66.23931527137756,70.94017267227173,61.91 (0.98),66.61 (0.84),[8 6 5],[10  8  3]
13,CaFE,WAV2VEC2_LARGE,80.7692289352417,73.5897445678711,3.7098335679731744,74.7863233089447,79.91452813148499,70.77 (0.62),74.62 (0.07),[15 19 14],[19 17  8]
14,CaFE,WAV2VEC2_LARGE_XLSR,73.50427508354187,55.81196665763855,15.103316095269316,80.7692289352417,84.18803215026855,74.64 (0.98),80.28 (0.29),[13  7 11],[ 9 10  8]
15,CaFE,WAV2VEC2_LARGE_XLSR300M,84.18803215026855,77.6068377494812,3.884894032557634,76.49572491645813,83.33333134651184,72.88 (1.75),80.68 (0.3),[17 18 19],[11 15 14]
16,EMOVO,HUBERT_ASR_LARGE,55.10203838348389,40.40816247463226,10.057104612396987,61.22449040412903,67.34693646430969,51.6 (1.25),62.38 (2.15),[12 16 13],[15 12 13]
17,EMOVO,HUBERT_BASE,35.71428656578064,32.55102097988129,2.6095332318593583,41.326531767845154,48.469388484954834,36.36 (0.43),41.46 (2.36),[ 7 10  9],[11  9  7]
18,EMOVO,HUBERT_LARGE,48.469388484954834,43.571428656578064,5.18905468164029,48.469388484954834,62.755101919174194,42.55 (1.74),55.0 (0.94),[12 11 13],[15 14 13]
19,EMOVO,WAV2VEC2_ASR_LARGE_960H,50.51020383834839,42.75510251522064,6.521039009804395,51.02040767669678,56.122446060180664,47.14 (0.52),49.56 (1.95),[ 9 10 15],[12 11 10]
20,EMOVO,WAV2VEC2_BASE,35.20408272743225,30.0,3.168199499401828,41.83673560619354,44.387754797935486,36.73 (2.3),36.53 (1.13),[8 7 6],[ 9 11  6]
21,EMOVO,WAV2VEC2_LARGE,42.85714328289032,38.26530635356903,4.96761669004872,44.897958636283875,50.51020383834839,41.8 (0.9),47.35 (1.08),[16 12 17],[12 17 18]
22,EMOVO,WAV2VEC2_LARGE_XLSR,38.77550959587097,32.24489748477936,7.005976970873609,53.06122303009033,61.73469424247742,46.56 (1.42),55.24 (1.26),[20  9 18],[10 17 16]
23,EMOVO,WAV2VEC2_LARGE_XLSR300M,42.85714328289032,31.428571343421936,7.044512840843109,50.51020383834839,69.89796161651611,41.73 (1.09),51.56 (1.64),[10 18 19],[15 18 19]
24,EmoDB,HUBERT_ASR_LARGE,96.42857313156128,91.66666626930237,4.821062163794985,98.8095223903656,100.0,97.3 (0.22),98.02 (0.74),[12 13 11],[11 13 12]
25,EmoDB,HUBERT_BASE,92.85714030265808,87.61904716491699,3.809522315859864,95.23809552192688,96.42857313156128,92.46 (1.11),93.57 (0.7),[ 9 11  8],[9 6 5]
26,EmoDB,HUBERT_LARGE,97.6190447807312,94.52380895614624,3.067642972545328,98.8095223903656,100.0,96.67 (0.7),97.7 (0.11),[10 12 13],[12 13 11]
27,EmoDB,WAV2VEC2_ASR_LARGE_960H,95.23809552192688,92.61904716491699,2.4281047362392147,96.42857313156128,97.6190447807312,92.22 (1.29),92.86 (1.03),[ 9  8 10],[ 7  9 10]
28,EmoDB,WAV2VEC2_BASE,91.66666865348816,86.42857193946838,3.417309716357332,90.47619104385376,91.66666865348816,88.02 (1.11),88.49 (0.96),[7 4 6],[8 9 4]
29,EmoDB,WAV2VEC2_LARGE,95.23809552192688,91.66666626930237,2.7147040154355415,97.6190447807312,98.8095223903656,94.76 (0.89),95.48 (0.19),[ 8 10  9],[ 9  7 10]
30,EmoDB,WAV2VEC2_LARGE_XLSR,98.8095223903656,86.1904764175415,13.606887774664516,100.0,100.0,98.41 (0.62),99.05 (0.58),[ 8 19 18],[ 8 19 18]
31,EmoDB,WAV2VEC2_LARGE_XLSR300M,97.6190447807312,91.42856955528259,4.84452115705621,97.6190447807312,100.0,95.95 (0.19),97.62 (0.0),[19 18 17],[13  9  8]
32,IEMOCAP,HUBERT_ASR_LARGE,72.45989441871643,71.76470637321472,0.633739028089004,68.27094554901123,71.39037251472473,65.9 (0.41),69.88 (0.24),[12 18 11],[11 22 14]
33,IEMOCAP,HUBERT_BASE,68.09269189834595,66.23885989189148,1.0566661193591942,65.95365405082703,69.16220784187317,64.36 (0.25),67.36 (0.2),[12 10  9],[10  6  5]
